Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,
Nissan,200SX SE,,1996,1997,2348,115,108,112.7,20.8,23.4,45,-7.5,15.9,T5 ,FALSE,,FALSE,,-7.5,FALSE
Nissan,200SX SE,,1998,1998,2418,115,108,112.7,21.5,20.8,45,-7.5,13.3,T5 ,FALSE,,FALSE,,-7.5,FALSE
Nissan,200SX SE-R,,1995,1995,2535,140,132,137.3,18.5,33.6,50,-5,28.6,T5 ,FALSE,,FALSE,,-5,FALSE
Nissan,200SX SE-R,,1996,1997,2491,140,132,137.3,18.1,34.9,50,-5,29.9,T5 ,FALSE,,FALSE,,-5,FALSE
Nissan,200SX SE-R,,1998,1998,2586,140,132,137.3,18.8,32,50,-5,27,T5 ,FALSE,,FALSE,,-5,FALSE
Nissan,240SX,,1989,1994,2698,155,160,156.7,17.2,38.8,55,-2.5,36.3,T5 ,FALSE,,FALSE,,-2.5,FALSE
Nissan,240SX,,1995,1999,2762,155,160,156.7,17.6,37.1,60,0,37.1,T5 ,FALSE,,FALSE,,0,FALSE
Nissan,350Z,,2003,2005,3247,287,274,282.7,11.5,63.2,75,7.5,70.7,T3,FALSE,,FALSE,,7.5,FALSE
Nissan,350Z,,2006,2006,3339,300,260,286.7,11.6,62.5,75,7.5,70,T3,FALSE,,FALSE,,7.5,FALSE
Nissan,350Z Nismo,,2007,2008,3353,306,268,293.3,11.4,63.4,75,7.5,70.9,T3,FALSE,,FALSE,,7.5,FALSE
Nissan,370Z Coupe,,2009,2011,3272,332,270,311.3,10.5,67.3,75,7.5,74.8,T3,FALSE,,FALSE,,7.5,FALSE
Nissan,370Z Nismo,,2009,2014,3340,350,276,325.3,10.3,68.4,75,7.5,75.9,T2,FALSE,,FALSE,,7.5,FALSE
Nissan,400Z,,2023,,3400,400,350,383.3,8.9,74.3,80,10,84.3,T2,FALSE,,FALSE,,10,FALSE
Nissan,GT-R,,2007,2010,3800,480,433,464.3,8.2,77.2,111,25.5,102.7,T1 ,FALSE,,FALSE,,25.5,FALSE
Nissan,GT-R,,2007,2010,3800,478,434,463.3,8.2,77.1,105,22.5,99.6,T1 ,FALSE,,FALSE,,22.5,FALSE
Nissan,GT-R,,2011,2012,3829,530,448,502.7,7.6,79.6,111,25.5,105.1,T1 ,FALSE,,FALSE,,25.5,FALSE
Nissan,GT-R,,2013,2019,3829,545,463,517.7,7.4,80.6,111,25.5,106.1,T1 ,FALSE,,FALSE,,25.5,FALSE
Nissan,GT-R NISMO,,2015,2019,3851,595,481,557,6.9,82.6,117,28.5,111.1,T1 ,FALSE,,FALSE,,28.5,FALSE
Nissan,Juke,,2011,,2912,188,177,184.3,15.8,44.9,50,-5,39.9,T5 ,FALSE,,FALSE,,-5,FALSE
Nissan,Sentra SE,,2000,2006,2544,145,136,142,17.9,35.9,45,-7.5,28.4,T5 ,FALSE,,FALSE,,-7.5,FALSE
Nissan,Sentra SE-R,,1991,1994,2469,138,132,136,18.2,34.8,50,-5,29.8,T5 ,FALSE,,FALSE,,-5,FALSE
Nissan,Sentra SE-R,,2000,2006,2746,165,175,168.3,16.3,42.7,60,0,42.7,T5 ,FALSE,,FALSE,,0,FALSE
Nissan,Sentra XE,,1991,1994,2386,115,108,112.7,21.2,22,45,-7.5,14.5,T5 ,FALSE,,FALSE,,-7.5,FALSE
Nissan,Skyline GT-R (R32),,1989,1991,3152,276,266,272.7,11.6,62.9,70,5,67.9,T3,FALSE,,FALSE,,5,FALSE
Nissan,Skyline GT-R (R33),,1993,1998,3373,276,266,272.7,12.4,59.4,75,7.5,66.9,T3,FALSE,,FALSE,,7.5,FALSE
Nissan,Skyline GT-R (R34),,1999,2002,3386,276,266,272.7,12.4,59.2,85,12.5,71.7,T3,FALSE,,FALSE,,12.5,FALSE
Pontiac,Fiero GT,,1988,1988,2790,135,160,143.3,19.5,29.3,50,-5,24.3,T5 ,FALSE,,FALSE,,-5,FALSE
Pontiac,Firebird TransAm,,1996,1996,3477,305,335,315,11,65.1,60,0,65.1,T3,FALSE,,FALSE,,0,FALSE
Pontiac,Firebird TransAm,,2002,2002,3396,310,340,320,10.6,66.9,65,2.5,69.4,T3,FALSE,,FALSE,,2.5,FALSE
Pontiac,Firebird TransAm TTA,,1989,1989,3400,250,340,280,12.1,60.4,50,-5,55.4,T4 ,FALSE,,FALSE,,-5,FALSE
Pontiac,GTO,,2004,2004,3725,350,365,355,10.5,67.4,60,0,67.4,T3,FALSE,,FALSE,,0,FALSE
Pontiac,GTO,,2005,2006,3725,400,400,400,9.3,72.4,60,0,72.4,T3,FALSE,,FALSE,,0,FALSE
Pontiac,Solstice (also Saturn Sky),,2006,2010,2877,177,166,173.3,16.6,41.5,70,5,46.5,T4 ,FALSE,,FALSE,,5,FALSE
Pontiac,Solstice GXP (Saturn Redline),,2007,2010,3031,260,260,260,11.7,62.5,70,5,67.5,T3,FALSE,,FALSE,,5,FALSE
Porsche,912,,1967,1967,2315,86,98,90,25.7,2.7,40,-10,-7.3,T5 ,FALSE,,FALSE,,-10,FALSE
Porsche,930,,1983,1983,2668,300,304,301.3,8.9,74.4,70,5,79.4,T2,,,,,,
Porsche,944,,1982,1987,2790,143,137,141,19.8,27.9,65,2.5,30.4,T5 ,FALSE,,FALSE,,2.5,FALSE
Porsche,718 Cayman /T (982),,2017,,2943,300,280,293.3,10,69.4,80,10,79.4,T2,FALSE,,FALSE,,10,FALSE
Porsche,718 Cayman S/GTS (982),,2017,,2987,350,309,336.3,8.9,74.3,80,10,84.3,T2,FALSE,,FALSE,,10,FALSE
Porsche,718 GT4 RS,,2025,2025,3227,493,331,439,7.4,80.8,95,17.5,98.3,T1 ,,,,,,
Porsche,911 (964),,1989,1994,3031,247,228,240.7,12.6,58.5,70,5,63.5,T3,FALSE,,FALSE,,5,FALSE
Porsche,911 (993),,1995,1998,3020,272,243,262.3,11.5,63.1,75,7.5,70.6,T3,FALSE,,FALSE,,7.5,FALSE
Porsche,911 3.2L,,1986,1989,2756,214,195,207.7,13.3,55.6,65,2.5,58.1,T4 ,FALSE,,FALSE,,2.5,FALSE
Porsche,911 Carrera (996),,1999,1999,2910,296,258,283.3,10.3,68.4,80,10,78.4,T2,FALSE,,FALSE,,10,FALSE
Porsche,911 Carrera 2 (996),,2002,2002,3098,320,273,304.3,10.2,68.7,80,10,78.7,T2,FALSE,,FALSE,,10,FALSE
Porsche,911 Carrera 3.6L (996),,2005,2005,3075,325,273,307.7,10,69.5,80,10,79.5,T2,FALSE,,FALSE,,10,FALSE
Porsche,911 Carrera C4S,,2020,,3373,443,390,425.3,7.9,78.3,115,27.5,105.8,T1 ,FALSE,,FALSE,,27.5,FALSE
Porsche,911 Carrera S,,2012.5,,3075,400,325,375,8.2,77.2,85,12.5,89.7,T2,FALSE,,FALSE,,12.5,FALSE
Porsche,911 Carrera S (997),,2009,2009,3150,385,310,360,8.8,74.8,80,10,84.8,T2,FALSE,,FALSE,,10,FALSE
Porsche,911 Carrera S 3.8L (996),,2005,2005,3131,355,295,335,9.3,72.3,80,10,82.3,T2,FALSE,,FALSE,,10,FALSE
Porsche,911 GT2 (996),,2002,2004,3175,456,457,456.3,7,82.4,85,12.5,94.9,T1 ,FALSE,,FALSE,,12.5,FALSE
Porsche,911 GT2 (997),,2008,2009,3175,530,505,521.7,6.1,86.1,85,12.5,98.6,T1 ,FALSE,,FALSE,,12.5,FALSE
Porsche,911 GT2 (997),,2011,2011,3075,620,516,585.3,5.3,89.7,90,15,104.7,T1 ,FALSE,,FALSE,,15,FALSE
Porsche,911 GT3,,2015,,3153,475,324,424.7,7.4,80.4,105,22.5,102.9,T1 ,FALSE,,FALSE,,22.5,FALSE
Porsche,911 GT3 (996),,2004,2004,3043,380,284,348,8.7,74.8,85,12.5,87.3,T2,FALSE,,FALSE,,12.5,FALSE
Porsche,911 GT3 (997),,2007,2007,3076,415,300,376.7,8.2,77.3,90,15,92.3,T2,FALSE,,FALSE,,15,FALSE
Porsche,911 GT3RS (997),,2010,2011,3020,450,317,405.7,7.4,80.4,95,17.5,97.9,T1 ,FALSE,,FALSE,,17.5,FALSE
Porsche,911 GTS,,2012,2012,3430,408,310,375.3,9.1,73.2,90,15,88.2,T2,FALSE,,FALSE,,15,FALSE
Porsche,911 Turbo (930),,1986,1989,2976,282,289,284.3,10.5,67.5,70,5,72.5,T3,FALSE,,FALSE,,5,FALSE
Porsche,911 Turbo (965),,1989,1994,3274,315,332,320.7,10.2,68.6,75,7.5,76.1,T2,FALSE,,FALSE,,7.5,FALSE
Porsche,911 Turbo (993),,1996,1997,3307,408,398,404.7,8.2,77.3,80,10,87.3,T2,FALSE,,FALSE,,10,FALSE
Porsche,911 Turbo (996),,2002,2002,3388,415,415,415,8.2,77.3,85,12.5,89.8,T2,FALSE,,FALSE,,12.5,FALSE
Porsche,911 Turbo (997),,2007,2007,3495,480,460,473.3,7.4,80.6,85,12.5,93.1,T2,FALSE,,FALSE,,12.5,FALSE
Porsche,914-6 GT,,1973,1973,2200,130,131,130.3,16.9,40.3,70,5,45.3,T4 ,FALSE,,FALSE,,5,FALSE
Porsche,924 S,,1988,1988,2734,160,155,158.3,17.3,38.6,55,-2.5,36.1,T5 ,FALSE,,FALSE,,-2.5,FALSE
Porsche,928 GT,,1990,1991,3505,330,317,325.7,10.8,66.3,60,0,66.3,T3,FALSE,,FALSE,,0,FALSE
Porsche,928 GTS,,1993,1995,3593,350,369,356.3,10.1,69.1,60,0,69.1,T3,FALSE,,FALSE,,0,FALSE
Porsche,944 S2,,1989,1991,2998,208,207,207.7,14.4,50.6,65,2.5,53.1,T4 ,FALSE,,FALSE,,2.5,FALSE
Porsche,944 Turbo,,1986,1988,2998,220,243,227.7,13.2,56,65,2.5,58.5,T4 ,FALSE,,FALSE,,2.5,FALSE
Porsche,944 Turbo,,1989,1989,2998,250,258,252.7,11.9,61.6,65,2.5,64.1,T3,FALSE,,FALSE,,2.5,FALSE
Porsche,Boxster,,1997,1999,2822,201,181,194.3,14.5,50.3,70,5,55.3,T4 ,FALSE,,FALSE,,5,FALSE
Porsche,Boxster,,2000,2002,2778,217,192,208.7,13.3,55.4,70,5,60.4,T3,FALSE,,FALSE,,5,FALSE
Porsche,Boxster,,2003,2004,2778,228,192,216,12.9,57.3,75,7.5,64.8,T3,FALSE,,FALSE,,7.5,FALSE
Porsche,Boxster,,2005,2006,2855,240,199,226.3,12.6,58.4,75,7.5,65.9,T3,FALSE,,FALSE,,7.5,FALSE
Porsche,Boxster,,2007,2008,2855,245,201,230.3,12.4,59.3,75,7.5,66.8,T3,FALSE,,FALSE,,7.5,FALSE
Porsche,Boxster,,2009,2011,2943,255,214,241.3,12.2,60.2,75,7.5,67.7,T3,FALSE,,FALSE,,7.5,FALSE
Porsche,Boxster S,,2000,2002,2855,250,225,241.7,11.8,61.8,75,7.5,69.3,T3,FALSE,,FALSE,,7.5,FALSE
Porsche,Boxster S,,2003,2004,2999,258,229,248.3,12.1,60.7,80,10,70.7,T3,FALSE,,FALSE,,10,FALSE
Porsche,Boxster S,,2005,2006,2965,280,236,265.3,11.2,64.5,80,10,74.5,T3,FALSE,,FALSE,,10,FALSE
Porsche,Boxster S,,2007,2008,2965,295,251,280.3,10.6,67,80,10,77,T2,FALSE,,FALSE,,10,FALSE
Porsche,Boxster S,,2009,2011,2987,310,265,295,10.1,69,80,10,79,T2,FALSE,,FALSE,,10,FALSE
Porsche,Carrera (997),,2005,2008,3075,325,273,307.7,10,69.5,80,10,79.5,T2,FALSE,,FALSE,,10,FALSE
