Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
Ford,Shelby GT500,,2013,2014,3871,662,630,651.3,5.9,86.7,70,5,91.7,T2,FALSE,,FALSE,,FALSE,FALSE,223,row 223: Model 'Shelby GT500' does not match any model key/name for make 'ford'
Ford,Shelby GT500,,2020,,4059,760,625,715,5.7,87.9,75,7.5,95.4,T1 ,FALSE,,FALSE,,FALSE,FALSE,224,row 224: Model 'Shelby GT500' does not match any model key/name for make 'ford'
Ford,Shelby Mustang GT350 Convertible,,1969,1970,3600,290,385,321.7,11.2,64.4,15,-22.5,41.9,T5 ,FALSE,,FALSE,,FALSE,FALSE,225,row 225: Model 'Shelby Mustang GT350 Convertible' does not match any model key/name for make 'ford'
Ford,Shelby Mustang GT500,,1967,1967,3370,355,420,376.7,8.9,74,15,-22.5,51.5,T4 ,FALSE,,FALSE,,FALSE,FALSE,226,row 226: Model 'Shelby Mustang GT500' does not match any model key/name for make 'ford'
Honda,CRS Si,,1987,1987,1953,91,93,91.7,21.3,21.5,55,-2.5,19,T5 ,FALSE,,FALSE,,FALSE,FALSE,243,row 243: Model 'CRS Si' does not match any model key/name for make 'honda'
Honda,CRX Si,,1985,1986,1883,108,100,105.3,17.9,36,55,-2.5,33.5,T5 ,FALSE,,FALSE,,FALSE,FALSE,244,row 244: Model 'CRX Si' does not match any model key/name for make 'honda'
Honda,CRX Si,,1988,1988,2011,108,100,105.3,19.1,30.9,55,-2.5,28.4,T5 ,FALSE,,FALSE,,FALSE,FALSE,245,row 245: Model 'CRX Si' does not match any model key/name for make 'honda'
Jaguar,F Type S Coupe,,2015,2016,3514,380,339,366.3,9.6,71.2,75,7.5,78.7,T2,FALSE,,FALSE,,FALSE,FALSE,257,row 257: Model 'F Type S Coupe' does not match any model key/name for make 'jaguar'
Jaguar,X Type sportwagon,,2005,2005,3747,227,206,220,17,39.6,60,0,39.6,T5 ,FALSE,,FALSE,,FALSE,FALSE,258,row 258: Model 'X Type sportwagon' does not match any model key/name for make 'jaguar'
Jaguar,XKR,,2003,2006,3785,390,399,393,9.6,71.1,65,2.5,73.6,T3,FALSE,,FALSE,,FALSE,FALSE,259,row 259: Model 'XKR' does not match any model key/name for make 'jaguar'
